Geneid	EDLARFE1	EDLARFE2	EDLARFE3	EDLARME1	EDLARME2	EDLARME3	EDLCIBFE1	EDLCIBFE2	EDLCIBFE3	EDLCIBME1	EDLCIBME2	EDLCIBME3	EDLCR6H1	EDLCR6H2	EDLCR6H3	EDLM9FE1	EDLM9FE2	EDLM9FE3	EDLM9ME1	EDLM9ME2	EDLM9ME3	MC2ARFE1	MC2ARFE2	MC2ARFE3
EDL933_RS03510	0	9	13	14	17	10	51	6	93	58	12	13	116	160	30	29	37	202	79	65	35	28	8	24
EDL933_RS03515	5	2	4	0	2	5	6	5	17	8	0	2	29	40	2	17	13	41	17	17	10	8	3	4
EDL933_RS03520	1	8	9	8	9	7	36	7	90	14	6	15	86	102	21	31	41	148	30	33	26	22	9	31
EDL933_RS03530	16	34	66	20	36	32	140	40	126	81	63	82	129	121	52	34	32	220	65	73	28	48	36	42
EDL933_RS03535	86	150	313	411	247	237	873	259	433	612	863	967	251	344	304	72	55	430	129	110	63	629	343	387
EDL933_RS03540	215	177	580	629	282	160	240	23	144	198	122	65	220	203	79	958	717	5680	914	935	586	1173	696	736
EDL933_RS03545	191	178	444	562	289	153	219	15	208	197	76	44	302	151	62	869	646	5160	742	875	520	1134	693	779
EDL933_RS03550	151	177	397	487	239	148	160	12	281	212	42	62	380	180	45	858	544	4711	710	804	469	1182	674	787
EDL933_RS03555	610	782	1727	1688	1021	763	450	72	1135	896	268	453	1453	596	153	2179	1544	12342	1932	2826	1456	4385	2616	2717
EDL933_RS03560	236	422	1281	474	733	484	1232	355	1198	887	163	761	1144	1127	1066	856	684	4957	1749	1251	694	1780	1176	1486
EDL933_RS03565	402	758	2080	1061	1283	884	2794	1120	3133	1701	572	1811	2678	2579	2303	1252	1247	8256	2770	2077	1192	2729	1920	2262
EDL933_RS03570	215	284	800	482	557	413	1153	887	1762	728	636	783	1495	1482	1212	528	583	3416	851	807	350	1398	1085	1201
EDL933_RS03575	346	488	1205	804	771	668	1580	1524	2842	1422	1143	1319	2553	2626	1928	719	723	4159	1007	1244	534	2084	1456	1662
EDL933_RS03580	335	524	1230	497	722	524	1013	276	1618	1368	310	641	1471	1657	672	486	457	3054	1356	1561	694	1459	931	1063
